id_local,id_barrio,Nombre,DESC_CLASE,desc_ubicacion_terraza
270058751,13,BAR EL ANDEN,CALLE,Acera
200001212,108,UVE Y MARI,CALLE,Acera
200001162,111,EL RACO,CALLE,Acera
200000884,109,CERVEZAS UCEDA,CALLE,Acera
200000995,109,EL DESVAN CAFE RESTAURANTE,CALLE,Acera
270523220,109,BAR LAS CINCO LAGUNAS,CALLE,Acera
200000125,114,EL RACIMO DE ORO,AVENIDA,Otros
200000832,108,BAR PASCUALA,CALLE,Calle peatonal
200001963,110,PASTELERIA CHARLOT CAFETERIA,CALLE,Acera
270318039,110,CERVECERIA DAN-CAR,CALLE,Acera
270229078,110,BAR EL RINCON DE MIGUELIN,CALLE,Acera
270307951,110,BAR EL CAFELITO CAFETERIA,AVENIDA,Acera
270263970,114,CAFETERIA VERTIGO,AVENIDA,Acera
200001347,115,BAR LA CAMPANA,CALLE,Acera
270545395,115,BAR UCLES,CALLE,Acera
200000868,115,RESTAURANTE CHINO DINASTY,PLAZA,Acera
270276973,108,BAR MAQUEDA S,CALLE,Acera
200000855,110,BLACK AND GREY,CALLE,Acera
270202254,110,BAR LOS MELLIZOS,CALLE,Acera
270188583,110,EL CHAVAL FREIDURIA,CALLE,Superficie en parcela privada
270537907,113,BAR LOS AMIGOS,AVENIDA,Acera
280067426,112,CEFETERIA CERVECERIA JUVINA,CALLE,Acera
280067190,109,RESTAURANTE VICTORIA,AVENIDA,Acera
280066092,109,SR,AVENIDA,Acera
200000909,114,A TABERNA DO MEIGO,CALLE,Acera
200001615,115,GAMBRINUS,AVENIDA,Acera
270380796,115,BAR RESTAURANTE,AVENIDA,Acera
270545030,115,CHURRERIA LOS MADRO?OS,AVENIDA,Acera
200000310,110,CERVECERIA LORENZO,AVENIDA,Acera
270441696,115,BAYMA CAFETERIA,AVENIDA,Acera
270223304,115,BAR LA ISLA,CALLE,Acera
270399792,114,BAR EL PUCHERO,CALLE,Acera
270202216,114,BAR LA BAH?A,CALLE,Acera
270543978,111,MATSURI,CALLE,Acera
270032768,110,CASI BAR,CALLE,Acera
270549774,115,BAR RESTAURANTE DAKINI,CALLE,Acera
270529634,114,LA ALCAZABA DE ALMERIA,CALLE,Acera
270187893,109,CERVECERIA BAR SILA,CALLE,Acera
270529281,109,LOS NI?OS DE LA VICTORIA BAR CAFE,CALLE,Acera
270360303,109,CAFETERIA RESTAURANTE JULIOS,CALLE,Acera
270271987,109,BAR JULI,CALLE,Acera
270029619,115,CARNICERIA CAMI,CALLE,Acera
200000107,110,BAR LOS ANGELES,PLAZA,Plaza peatonal
270537939,110,SIDRERIA EL LLAGAR,PLAZA,Plaza peatonal
270030162,108,BAR GUADIANA,CALLE,Acera
270030163,108,EL REFUGIO,CALLE,Acera
270208604,110,BAR GIL,CALLE,Acera
200000531,114,ALMADRABA,AVENIDA,Acera
200000447,114,CAFETERIA EL ZARZAL,AVENIDA,Acera
200000847,109,CERVECERIA BAR EL MOLINON,CALLE,Acera
270232747,109,BAR COIMBRA,PLAZUELA,Plaza peatonal
200001301,109,BAR SUPERA,CALLE,Calle peatonal
200001576,114,BAR QUEDATE CONMIGO,CALLE,Acera
200000142,108,BAR CAMARERO,PASAJE,Calle peatonal
270188981,110,BAR LA MONTA?A,CALLE,Acera
270188991,110,BAR SEGOVIA,CALLE,Acera
270188909,110,CERVECERIA EL PIRATA,CALLE,Acera
270408888,114,LA ANDALUZA,CALLE,Acera
200001356,114,LA VILLA DE FOZ,CALLE,Acera
200001213,114,BAR EL REFUGIO,CALLE,Acera
200000902,114,CERVECERIA Z DE MADRIZ,CALLE,Acera
270547424,114,RESTAURANTE CHINO MULAN,CALLE,Acera
270447448,114,FRESH DONNER KEBAB,CALLE,Acera
270539192,114,ESCUELA DE ENSE?ANZA,CALLE,Acera
200000348,114,A LA DE TRES,CALLE,Acera
270157123,75,LONGINOS HOUSE,CALLE,Acera
270409801,73,BAR LA PLAZA,PLAZA,Plaza peatonal
270296754,77,HNOS MAYORDOMO,AVENIDA,Acera
270154385,73,BAR,CALLE,Acera
270539344,72,O FREIXO,PASEO,Acera
200000893,115,EL RINCON DE LA ALCARRIA,CALLE,Acera
270204364,115,RESTAURANTE CAFETERIA SHIRAY,CALLE,Acera
270187603,108,MAKE DONNER,CALLE,Acera
270497966,115,CERVECERIA HEVIA,CALLE,Acera
270535935,115,RESTAURANTE LAZICA,CALLE,Acera
270187701,108,BAR,CALLE,Acera
270216417,115,SANKALY,CALLE,Acera
200000650,111,TABERNA ENTRE CASTILLAS,CALLE,Acera
200000118,111,MAR & YO,CALLE,Acera
200001477,115,SANPAS,CALLE,Acera
270530271,110,CAFETERIA ARUAL,CALLE,Acera
270477969,110,CAFETERIA LA FLOR DE LIS,CALLE,Acera
270189108,110,BAR SEOANE RESTAURANTE,CALLE,Acera
270480989,110,EL RINCON LUSO BAR,CALLE,Acera
270187385,112,CERVECERIA SANZ,CALLE,Acera
200001259,112,LAS ESTRELLAS,CALLE,Acera
200000314,112,CAFE BAR TUPY II,CALLE,Acera
270187559,108,BAR LA QUINTANA,CALLE,Acera
270187610,108,CAFETERIA SHIRAY,CALLE,Acera
200000056,108,BAR LAS MARAVILLAS,CALLE,Acera
270225471,109,BAR BURGOS,CALLE,Acera
200000876,109,LA TOSTA CAFETERIA,CALLE,Acera
270491876,109,DELICIAS Y TORTAZOS,CALLE,Acera
